INGRESO_BIN,EDAD,N_INTENTOS,TIEMPO_DESDE_EGRESO,PUNTAJE_MINEDU,ES_MIGRANTE,NIVEL_DIFICULTAD,COLEGIO_TIPO_GESTION,RATIO_COMPETENCIA,FACULTAD_COD,SEXO_COD,ANIO_POSTULA
0,19.0,1,3,7.9,0,3,0,0.8025999037072701,11,1,2017
1,19.0,2,3,7.9,0,4,0,0.008035714285714285,3,1,2017
1,20.0,0,3,6.85,0,4,0,0.022435897435897436,5,1,2024
0,21.0,0,1,6.7,0,3,0,0.8443223443223443,11,1,2020
0,18.0,0,1,7.1,0,3,0,0.8092986603624901,11,0,2023
1,20.0,0,4,6.7,0,2,0,0.015609756097560976,7,1,2023
1,21.0,0,5,6.4,0,5,1,0.02926829268292683,6,1,2023
0,19.0,0,2,4.2,1,3,0,0.8128205128205128,11,1,2024
0,20.0,1,3,4.2,1,3,0,0.8026905829596412,11,1,2025
0,17.0,0,1,6.4,0,3,0,0.8264040846097739,11,1,2019
1,17.0,0,1,6.4,0,2,0,0.017254601226993866,7,1,2019
0,19.0,0,3,6.4,0,3,0,0.8761744966442953,11,0,2021
1,18.0,0,2,7.1,0,2,0,0.012719790497568275,7,0,2024
0,18.0,0,1,6.4,0,3,1,0.821319018404908,11,1,2019
0,17.0,0,1,6.900994407311418,1,3,0,0.8232189973614775,11,1,2016
0,19.0,0,2,7.1,0,3,0,0.8294051627384961,11,1,2024
0,17.0,0,1,6.900994407311418,1,3,0,0.8515777171795871,11,1,2018
0,19.0,0,3,4.8,1,3,0,0.8080336291452592,11,1,2018
1,19.0,1,3,4.8,1,5,0,0.020646669263731984,1,1,2018
0,19.0,0,3,6.85,0,3,0,0.8128205128205128,11,1,2024
0,20.0,0,4,3.7,0,3,0,0.8294051627384961,11,1,2024
1,20.0,1,4,3.7,0,5,0,0.022756410256410255,6,1,2024
1,21.0,2,5,3.7,0,5,0,0.03101644245142003,6,1,2025
0,17.0,0,1,6.85,0,3,0,0.818620992534036,11,1,2022
1,17.0,1,1,6.85,0,4,0,0.015638207945900255,3,1,2022
0,16.0,0,1,4.5,0,3,0,0.818620992534036,11,1,2022
0,19.0,0,3,6.4,0,3,0,0.8761744966442953,11,1,2021
0,17.0,0,1,7.0,0,3,0,0.8306997742663657,11,0,2021
1,19.0,0,2,2.6,1,4,0,0.015349887133182845,3,1,2021
0,19.0,0,2,6.7,0,3,0,0.8306997742663657,11,0,2021
0,19.0,0,2,4.8,0,3,0,0.818620992534036,11,1,2022
0,21.0,0,4,6.900994407311418,1,3,0,0.8055790363482671,11,1,2022
0,17.0,0,1,6.4,0,3,0,0.8264040846097739,11,1,2019
0,18.0,1,2,6.4,0,3,0,0.8443223443223443,11,1,2020
0,17.0,0,1,6.85,0,3,0,0.8055790363482671,11,0,2022
0,18.0,1,2,6.85,0,3,0,0.8092986603624901,11,0,2023
0,19.0,0,3,6.900994407311418,1,3,0,0.8232189973614775,11,1,2016
0,20.0,0,4,7.0,0,3,0,0.8128205128205128,11,0,2024
0,21.0,1,5,7.0,0,3,0,0.8026905829596412,11,0,2025
