INGRESO_BIN,CALIF_FINAL,EDAD,N_INTENTOS,TIEMPO_DESDE_EGRESO,CALIF_PROMEDIO_HIST,HA_INGRESADO_ANTES,PUNTAJE_MINEDU,ES_MIGRANTE,NIVEL_DIFICULTAD,COLEGIO_TIPO_GESTION,EGRESADO_RECIENTE_BIN,FACULTAD_COD,SEXO_COD,ANIO_POSTULA,ASISTENCIA,PARCIAL_1,PARCIAL_2
0,4.011,18.0,1,2,0.0,0,7.1499999999999995,0,3,0,0,11,0,2025,0.57,8.2,9.1
0,3.936,19.0,1,2,0.0,0,7.1499999999999995,0,3,0,0,11,1,2025,0.5,8.9,9.6
0,2.999,17.0,1,1,0.0,0,6.4,0,3,0,1,11,0,2019,0.91,6.6,7.6
0,3.182,18.0,2,2,2.999,0,6.4,0,3,0,0,11,0,2020,0.68,6.4,7.6
0,9.212,20.0,1,4,0.0,0,6.85,0,3,0,0,11,0,2021,0.77,11.4,11.1
0,10.801,18.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2016,0.99,12.8,10.4
0,13.638,19.0,2,2,10.801,0,6.900994407311418,1,3,0,0,11,1,2017,0.72,9.2,9.9
0,14.385,19.0,3,2,12.2195,0,6.900994407311418,1,3,0,0,11,1,2017,0.72,11.9,10.9
0,14.595,20.0,4,3,12.941333333333333,0,6.900994407311418,1,3,0,0,11,1,2018,0.51,10.3,10.6
1,16.244,20.0,5,3,13.35475,0,6.900994407311418,1,5,0,0,1,1,2018,0.98,17.0,15.6
0,3.432,16.0,1,1,0.0,0,3.4,1,3,0,1,11,0,2019,1.0,10.3,9.6
0,0.377,18.0,1,2,0.0,0,7.1499999999999995,0,3,0,0,11,0,2025,0.76,13.2,13.8
0,9.481,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2018,0.64,9.3,8.9
0,10.226,18.0,2,1,9.481,0,6.4,0,3,0,1,11,1,2019,0.73,13.3,11.6
0,11.403,18.0,1,2,0.0,0,7.9,0,3,0,0,11,1,2016,0.5,2.9,1.5
0,11.771,19.0,2,3,11.402999999999999,0,7.9,0,3,0,0,11,1,2017,0.53,11.5,12.6
1,14.332,19.0,3,3,11.587,0,7.9,0,4,0,0,3,1,2017,0.95,18.1,17.8
1,12.187,20.0,1,3,0.0,0,6.85,0,3,0,0,11,1,2024,0.97,14.0,13.7
0,1.529,21.0,1,1,0.0,0,6.7,0,3,0,1,11,1,2020,0.75,9.6,9.0
0,2.824,18.0,1,1,0.0,0,7.1,0,3,0,1,11,0,2023,0.78,4.4,2.9
1,14.08,20.0,1,4,0.0,0,6.7,0,2,0,0,7,1,2023,0.98,15.0,14.8
1,13.312,21.0,1,5,0.0,0,6.4,0,5,1,0,6,1,2023,1.0,19.0,20.0
